gender,age,education_years,income_level,financial_literacy,numerical_reasoning,risk_preference,social_capital,consistency_score,response_time,answer_changes,session_duration,mobile_usage_score,skipped_questions,expenses,psychometric_score,credit_score,repayment_status
Male,51,14,16891,54,68,15,52,78,50.74715774594364,0,13.914154894351483,20,1,15618,65.1,566,0
Male,57,16,98298,37,54,50,21,53,220.86127215161093,2,24.328728892967195,93,1,37174,43.35,672,1
Female,40,13,77131,86,48,95,23,75,203.87808899540457,6,11.70144864625049,33,2,75917,56.75,553,0
Female,46,11,67093,73,60,39,42,95,203.70093922892042,1,22.04887396249176,52,2,73503,68.3,533,0
Male,48,12,55294,45,25,38,60,24,68.06176786501385,6,18.58269599271324,95,0,36130,39.75,481,0
Female,24,9,33557,79,29,55,57,74,92.69457496951713,1,10.848123014290765,70,4,23826,58.8,575,0
Female,57,5,92472,84,42,53,75,55,236.05232513704937,6,14.859581781451675,88,1,41582,62.65,664,1
Female,50,8,66166,70,65,43,95,91,230.05501194643014,6,16.672697173287307,35,4,56032,75.4,601,0
Male,38,6,88817,79,31,45,63,74,85.30893463788544,3,13.850552782070935,60,4,32154,61.2,703,1
Male,19,7,7192,78,74,31,83,29,126.5805340312831,2,11.844552007378505,92,1,5417,67.05,595,0
Male,35,16,50032,95,32,47,43,65,71.18862150425286,0,12.298465974481303,33,4,31758,61.25,591,0
Male,50,7,54851,36,93,60,60,71,92.52763437821537,0,17.948498010705464,48,0,25230,61.25,648,0
Male,54,13,47861,40,26,65,47,81,76.9456986491403,3,19.697802894098878,33,1,45945,45.25,555,0
Male,51,17,39946,86,31,37,81,23,56.18740630704225,3,15.972511397006347,26,2,35987,56.6,560,0
Male,37,14,54884,47,80,42,34,75,155.89577317961346,3,24.009509224688536,63,3,29624,60.0,603,0
Male,52,8,51360,63,44,3,81,30,88.15713854933799,7,20.385629244836817,28,0,31278,57.75,604,0
Male,35,6,68252,89,21,4,29,69,238.44809059319712,1,23.15988542032911,80,1,34267,59.7,641,0
Female,41,7,46472,81,45,100,48,80,143.08795018605576,6,16.08628028690174,97,4,21741,58.75,566,0
Male,25,7,40455,61,70,57,50,42,111.8188640877119,2,8.253009775248737,79,2,19301,56.0,620,0
Female,47,11,33672,41,88,36,82,49,222.63243428056143,0,18.06519900332211,72,3,13705,62.8,607,0
Female,27,12,8756,57,81,25,37,44,164.1492354095036,4,21.910409451081037,93,1,5001,59.2,599,0
Female,40,17,93454,33,91,8,26,49,65.41576383343435,0,17.12109600792673,66,0,79902,55.55,668,1
Male,28,15,75030,45,92,14,46,58,139.56409130247215,5,17.65431781900511,35,0,38301,63.6,678,1
Male,19,17,63151,59,58,87,28,99,128.21583015249172,2,24.57450522913759,66,2,54457,57.5,581,0
Male,43,10,39047,73,30,87,39,93,193.02641368164817,3,14.224417134374907,56,0,35621,55.15,534,0
Male,53,8,77074,32,83,98,69,30,178.7555343404332,1,21.631837920816636,42,1,43975,46.9,587,0
Female,50,10,67391,38,99,88,80,92,114.15826388620377,0,16.58626207109958,50,2,23327,67.75,686,1
Male,30,17,7221,61,61,25,86,55,133.89586419549914,7,15.883087065083355,77,3,6312,64.95,562,0
Male,57,15,10164,60,29,62,93,71,143.75761269473483,4,10.474810072796133,82,1,4178,57.2,592,0
Male,42,5,38622,69,38,86,36,24,124.49218626903598,1,20.722716420877788,21,0,20051,41.8,536,0
Male,21,17,40980,22,23,69,40,95,61.54427480638292,0,21.996005177773213,23,3,31688,40.45,521,0
Male,59,14,56738,50,22,26,92,93,221.08917595117427,6,15.32491656630773,41,3,58759,60.3,470,0
Female,36,12,89688,95,100,53,100,33,174.51199825889339,7,20.980020087356362,76,2,81091,79.8,658,1
Male,35,5,84921,34,33,82,51,39,133.94404974097657,2,17.879053375597152,50,0,43766,35.7,510,0
Female,54,9,28612,73,29,30,67,39,153.9173891641144,6,12.37842334886021,95,4,27187,54.0,518,0
Male,47,6,83066,72,25,31,57,63,82.63272345303608,7,23.703163974094117,73,3,52152,55.9,608,0
Female,36,10,73876,64,50,1,47,44,146.11126655571607,0,19.845114032849427,39,3,30682,57.45,659,1
Male,40,13,65572,57,50,17,79,60,189.2055555393632,4,22.93168850053839,60,1,35903,61.75,633,0
Male,33,9,93660,97,67,27,89,88,146.73487290270234,1,12.784895235757126,28,2,89674,84.1,721,1
Female,18,8,38043,99,28,70,77,21,136.1330745313241,0,23.57817421889162,67,4,22702,55.45,580,0
Female,29,6,82831,69,95,86,89,31,132.47713409847356,4,14.199336640538492,42,0,50026,65.4,644,0
Female,41,16,90783,43,45,99,100,47,192.3245586433397,6,8.162042060781062,52,0,98148,48.65,479,0
Male,51,7,71250,36,21,87,72,63,190.66793391746506,0,9.275483445402248,52,1,50801,40.75,560,0
Female,25,10,43822,37,23,91,29,32,190.01404558861267,0,9.51875423478773,88,4,30563,28.5,387,0
Male,35,12,64424,61,25,24,21,62,89.23399958244352,6,11.52143725948962,82,0,56945,47.7,583,0
Male,22,12,71345,36,49,38,44,74,163.57899357304717,7,11.170873758299718,72,3,76293,50.65,501,0
Female,43,9,57878,35,74,48,57,27,195.7814626019593,5,8.98419789853074,40,3,63170,48.15,455,0
Female,47,9,69963,71,47,3,20,83,152.37885387273775,7,23.221671349660525,83,1,64659,62.35,610,0
Male,30,14,90898,55,80,51,99,31,195.79546968698904,7,22.08127142289936,51,0,90642,62.45,629,0
Male,36,17,5036,58,96,82,95,60,210.88067966370528,3,20.96799496128608,83,1,5166,69.45,453,0
Female,46,7,37402,100,74,67,92,63,74.77801191211312,7,16.145267733948707,60,1,33512,78.2,616,0
Female,20,11,95034,44,55,56,32,30,101.2681651105753,7,15.227518614978525,65,2,71422,42.15,604,0
Female,43,17,98923,61,93,12,90,38,160.2619287909125,6,15.231196251856748,41,0,49468,71.45,696,1
Male,57,10,15273,40,93,64,20,79,97.93567726934059,4,12.45004596772516,37,0,13485,57.65,560,0
Male,29,5,30030,87,24,62,50,91,228.2770755541733,0,18.34037942958899,44,1,21064,61.6,592,0
Male,19,8,57460,78,48,97,86,46,78.82684798638417,5,9.004354067794027,99,1,59398,57.8,474,0
Male,28,10,81939,49,31,70,75,90,111.38959557795721,7,19.199326485208275,96,3,24671,54.7,687,1
Male,45,15,85573,76,41,24,38,46,238.86126051363271,1,16.735576885504493,86,2,88668,55.55,544,0
Male,35,10,24039,52,78,22,23,33,77.83634921457941,2,21.880843746529973,38,1,25480,52.95,461,0
Female,30,15,19017,72,58,29,47,43,129.7635416115408,6,24.536612926111403,97,0,9044,58.85,607,0
Male,54,16,87901,35,21,60,63,83,102.75645974872074,3,22.90237234384459,40,2,88184,45.8,504,0
Male,39,16,44215,68,33,6,49,43,201.9598381098505,5,20.238710460741324,69,0,34139,54.0,586,0
Male,29,7,17583,24,29,53,55,21,100.82944790931919,3,15.357318014931499,43,2,9401,31.6,437,0
Female,19,10,37919,96,67,16,72,71,72.28579090838281,3,11.64691245467916,80,3,31866,78.95,620,0
Male,54,16,52025,79,83,96,78,31,226.62702607264404,2,19.3028463925133,99,4,48799,62.75,539,0
Male,24,14,49254,90,22,59,87,84,103.48047523631513,6,11.427184853105185,91,4,31385,66.45,611,0
Female,43,10,51275,100,91,65,94,79,188.34950611311783,4,8.344402148753801,79,1,40864,86.15,702,1
Male,43,16,62943,74,79,37,23,77,98.11354505006966,1,17.7449606803374,70,4,29029,67.1,654,1
Male,41,13,14514,54,100,12,30,61,75.7163262962749,2,14.700217000093657,69,0,4732,66.7,677,1
Male,29,13,43416,88,87,51,72,20,200.48243651309954,1,22.892317328278537,76,0,45517,67.85,533,0
Male,33,6,6511,61,40,51,73,41,51.1163974606453,1,18.978261040903874,88,2,2756,52.35,580,0
Male,40,8,23642,88,38,31,64,91,106.39457140710729,3,19.003251760558108,33,3,16809,70.6,604,0
Female,57,13,87151,43,98,85,36,32,196.01633351635346,0,21.394181809817745,43,1,32085,50.7,653,1
Female,26,17,56894,90,39,8,83,97,142.4275043187111,1,13.706084019325498,29,1,56019,77.8,632,0
Female,49,8,29225,90,77,16,77,84,177.9147635089809,1,24.288923177764236,88,0,26804,83.0,667,1
Male,32,12,25846,74,61,81,32,57,53.36338144443692,1,11.762465354897554,64,0,11752,55.55,576,0
Male,54,14,34152,33,29,39,100,83,189.96199819312488,1,22.818558246039288,73,4,32479,54.85,542,0
Male,30,16,71107,74,42,90,70,95,74.38808111985625,3,23.484297028119542,30,1,40746,63.2,637,0
Female,22,7,55354,34,31,74,71,71,201.74080722957103,1,8.663686406694573,85,2,53767,45.4,532,0
Male,28,7,31188,24,28,53,34,99,152.83494403965352,0,18.740975761686684,60,3,15611,43.8,565,0
Male,27,13,65910,23,98,53,23,51,187.83236360865246,5,20.740154279998425,74,1,44638,49.75,576,0
Female,30,15,47530,49,48,27,28,46,82.56653830304865,4,24.21511687863336,67,2,24203,47.4,582,0
Male,58,14,83753,72,39,71,86,80,119.08510128775671,4,12.273441285347701,67,0,70011,63.15,662,1
Female,32,12,46999,92,84,49,100,81,200.413866491012,1,17.551452983451405,60,2,16145,84.9,754,1
Female,59,5,11609,49,22,17,93,22,222.16089886080474,3,21.142996952133416,77,2,8860,46.85,518,0
Female,24,14,63769,80,27,12,76,100,85.31443905937704,0,10.522043830272278,58,1,56751,70.95,639,0
Male,57,6,52397,90,58,32,48,97,198.6787319939627,6,22.500696202457505,91,2,23909,74.9,658,1
Male,45,7,54322,87,83,14,66,50,61.71103567267636,0,14.861846534127407,29,1,26594,75.35,662,1
Male,49,15,10151,74,50,85,24,83,125.14973230419751,1,18.875764372937667,72,4,8938,56.4,507,0
Male,52,6,11406,90,91,37,89,61,227.74393330268109,3,8.714647682366268,94,4,7214,81.6,639,0
Male,32,7,67678,92,98,93,83,77,229.02729713750082,6,11.789914358762331,79,2,54028,80.65,627,0
Male,53,12,52062,61,41,5,78,62,99.33644040788545,4,16.129144863877528,97,2,33389,62.15,617,0
Male,38,15,85429,96,24,44,54,51,78.5826813163845,5,12.916562222787562,88,3,54250,58.7,630,0
Female,23,15,37956,48,77,58,24,49,69.89727409270682,2,24.283335299021267,69,0,20512,51.25,602,0
Male,18,16,58830,54,92,97,69,80,136.17505071419214,1,21.51385255893335,44,4,45183,65.85,585,0
Female,21,10,77681,64,98,82,79,47,58.415365243226574,1,22.70295864005378,45,2,60549,66.75,605,0
Male,28,11,18133,93,82,96,34,64,111.37061049102218,1,15.927404398370129,57,2,16351,66.7,546,0
Male,43,14,17209,48,80,77,43,29,43.40222331902871,3,16.051915150692345,63,2,12069,48.95,526,0
Male,54,17,97501,89,71,47,40,35,91.87962219685369,6,21.688213216157628,64,2,73080,62.75,639,0
Female,40,14,79681,22,52,40,21,50,220.05538037914658,6,14.588056593352059,36,2,77931,38.75,453,0
Female,46,10,59345,76,41,82,64,29,129.39567866657916,2,16.174438152896712,72,3,19720,50.25,599,0
Female,38,5,47585,85,70,78,29,93,54.74908914657584,3,16.98602544628269,55,0,34051,68.15,609,0
Female,44,15,39638,41,30,73,64,31,169.3673575721798,1,18.321680523998893,37,3,15894,38.3,470,0
Male,56,7,25645,46,77,54,56,47,231.12671213823296,2,19.04949835436098,31,1,21757,55.45,548,0
Female,57,17,23408,41,69,60,42,37,132.68152496113368,0,19.57277952491752,89,3,23770,47.25,454,0
Male,30,5,17521,93,89,1,64,71,164.85757210154247,0,15.548157444209233,30,0,11208,83.85,692,1
Male,40,16,92414,68,36,1,60,47,223.88360136551256,5,13.017496536402351,45,0,74730,57.7,646,0
Female,33,14,43221,43,65,84,84,47,123.81988477919218,2,23.642620362582626,60,1,25740,52.75,549,0
Female,47,16,26086,46,63,75,80,83,172.91736115555722,1,22.05426886070069,27,1,23600,60.65,583,0
Female,21,13,21923,55,76,9,25,33,128.14085485561685,3,8.058435683857166,24,0,16912,54.95,575,0
Female,57,17,86761,36,24,75,84,27,232.42619530513895,7,16.71969815688127,87,4,68165,37.3,463,0
Female,33,13,12202,75,58,38,37,22,140.76031459443033,1,12.668251779716083,56,0,5353,53.15,582,0
Female,48,9,97477,29,77,1,59,93,217.13057895188612,7,18.926392811810402,66,1,29776,65.3,739,1
Female,59,8,42206,73,28,64,57,28,141.4396996890008,2,16.544877201370632,25,4,33791,46.65,538,0
Female,42,16,24885,100,42,65,64,66,173.6772165589865,7,8.359829969016559,41,1,9700,66.8,645,0
Male,29,13,16218,93,66,86,36,82,117.22829743830297,5,20.3721329800945,48,3,6597,67.6,581,0
Female,43,13,50692,93,55,91,32,59,223.51101334524492,6,12.681575071611775,48,0,21845,59.15,571,0
Female,54,7,57689,57,50,80,29,96,169.38842939767875,1,12.424020825272986,88,3,35764,55.15,601,0
Male,50,9,99286,100,42,51,50,43,43.982465976715524,6,8.542743996211028,38,2,49223,61.5,654,1
Female,45,7,11716,23,75,84,69,90,43.12823470324797,1,22.08171481492793,22,3,12452,55.6,396,0
Male,26,14,21088,69,90,43,42,32,175.23550367874685,0,17.840271680497892,59,2,17745,61.6,569,0
Male,29,6,36001,80,65,33,64,25,62.853772453540415,4,16.24232618816003,97,0,16393,61.55,639,0
Female,22,5,27584,40,77,72,98,93,183.2328825399733,3,19.48881772689226,66,1,26014,67.35,569,0
Male,45,16,9286,55,55,80,57,70,104.40335595686378,5,13.871291472176035,79,4,4868,54.8,551,0
Male,52,14,9739,65,87,44,30,79,147.7839356183083,1,17.681066142782214,59,4,9153,67.15,550,0
Male,22,6,35158,90,79,31,27,94,74.87991750672137,0,12.237647937024356,46,2,23739,76.5,641,0
Male,51,12,10605,63,33,4,97,48,89.24435968092888,4,9.070237445636902,83,1,7253,60.9,588,0
Female,51,15,61492,83,44,77,32,35,127.38355026891338,0,17.542836983896002,32,2,37261,50.0,594,0
Male,30,12,8321,37,90,88,53,83,173.0955154444074,1,11.760259236119552,30,4,4139,59.35,535,0
Female,56,7,49541,32,98,85,84,74,71.14632732751676,3,20.75071707658148,98,4,42091,63.0,547,0
Male,59,11,56701,32,63,62,94,48,96.25662715732918,4,15.68133370737183,98,0,39843,52.85,615,0
Male,31,11,17170,44,65,68,29,97,81.39248037818012,1,12.256774152302878,44,2,5272,56.4,650,1
Male,28,6,61045,24,32,53,95,74,212.53486175609052,2,18.341879755006275,62,2,34017,48.95,595,0
Male,59,13,13933,58,81,37,55,79,169.6012986924985,5,9.982553400032408,74,4,12720,68.0,563,0
Female,55,7,93228,48,38,8,23,60,133.69914737161366,5,20.94420597059908,92,4,50003,48.55,633,0
Female,21,6,14906,76,31,60,40,99,229.38861084325663,7,15.687025256984533,47,0,12642,60.35,550,0
Male,50,16,28814,65,67,94,80,28,187.16525907862018,1,21.814975681111505,48,1,13322,54.45,563,0
